"","occ_title","a_pct25","a_median","a_pct75"
"1","Miscellaneous Agricultural Workers",22730,24600,29730
"2","Packers and Packagers, Hand",21380,24580,29760
"3","Cleaners of Vehicles and Equipment",21230,24530,30040
"4","Graders and Sorters, Agricultural Products",22140,24430,28130
"5","Gaming and Sports Book Writers and Runners",21610,24430,31100
"6","Other Personal Care and Service Workers",21570,24330,29430
"7","Manicurists and Pedicurists",21940,24330,28260
"8","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",22720,24320,28210
"9","Entertainment Attendants and Related Workers, All Other",21220,24290,33370
"10","Baggage Porters and Bellhops",20600,24210,30240
"11","Retail Salespersons",20910,24200,30350
"12","Home Health Aides",21750,24200,28030
"13","Automotive and Watercraft Service Attendants",21260,24200,29010
"14","Locker Room, Coatroom, and Dressing Room Attendants",20340,24030,31030
"15","Personal Care Aides",21810,24020,27490
"16","Animal Care and Service Workers",20560,23950,29400
"17","Parking Lot Attendants",20690,23870,27970
"18","Miscellaneous Food Preparation and Serving Related Workers",21220,23850,28060
"19","Food Preparation and Serving Related Workers, All Other",21220,23850,28060
"20","Cooks, Short Order",20190,23800,28500
"21","Maids and Housekeeping Cleaners",20340,23770,28630
"22","Models",21230,23770,36390
"23","Nonfarm Animal Caretakers",20400,23760,28780
"24","Food Preparation Workers",20160,23730,28270
"25","Hotel, Motel, and Resort Desk Clerks",20430,23700,28090
"26","Retail Sales Workers",20160,23560,28540
"27","Pressers, Textile, Garment, and Related Materials",20260,23350,26940
"28","Food Servers, Nonrestaurant",19930,23290,27630
"29","Childcare Workers",19640,23240,27900
"30","Laundry and Dry-Cleaning Workers",20130,23210,27010
"31","Motion Picture Projectionists",19530,22760,28170
"32","Dishwashers",19750,22730,25160
"33","Bartenders",19180,22550,29980
"34","Other Food Preparation and Serving Related Workers",19410,22480,25320
"35","Cashiers",19440,22440,25000
"36","Miscellaneous Entertainment Attendants and Related Workers",19310,22420,25820
"37","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",19320,22410,25990
"38","Cooks, Fast Food",19180,22330,25110
"39","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",19320,22330,25280
"40","Dining Room and Cafeteria Attendants and Bartender Helpers",19290,22270,25370
"41","Amusement and Recreation Attendants",19230,22260,25350
"42","Ushers, Lobby Attendants, and Ticket Takers",19120,22260,25510
"43","Entertainment Attendants and Related Workers",19130,22180,25600
"44","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",19090,22160,25280
"45","Waiters and Waitresses",18820,21780,28280
"46","Food and Beverage Serving Workers",18840,21700,25420
"47","Shampooers",19230,21640,24380
"48","Fast Food and Counter Workers",18770,21460,24560
"49","Combined Food Preparation and Serving Workers, Including Fast Food",18700,21250,24460
"50","Gaming Services Workers",18610,20940,24810
"51","Gaming Dealers",18310,20120,23800
